BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE
1,GREENWICH VILLAGE-CENTRAL,14 RENTALS - 4-10 UNIT                     ,10012,4,1,5040,1900,2,S4,9167000
1,WASHINGTON HEIGHTS UPPER,14 RENTALS - 4-10 UNIT                     ,10033,5,1,5050,1911,2,S5,2000000
1,UPPER WEST SIDE (79-96),01 ONE FAMILY DWELLINGS                    ,10024,1,0,5070,1920,1,A4,5500000
1,UPPER EAST SIDE (79-96),02 TWO FAMILY DWELLINGS                    ,10028,2,0,5072,1910,1,B9,21000000
4,RICHMOND HILL,27 FACTORIES                               ,11418,0,1,5075,1930,4,F1,466000
1,EAST VILLAGE,14 RENTALS - 4-10 UNIT                     ,10009,4,2,5080,1900,2,S9,5825000
5,TODT HILL,01 ONE FAMILY DWELLINGS                    ,10301,1,0,5100,1980,1,A3,1350000
1,HARLEM-EAST,07 RENTALS - WALKUP APARTMENTS             ,10029,4,0,5110,1900,2,C5,5280000
1,FLATIRON,14 RENTALS - 4-10 UNIT                     ,10010,4,1,5118,1910,2,S4,6625000
5,TOTTENVILLE,02 TWO FAMILY DWELLINGS                    ,10307,2,0,5132,2000,1,B1,995000
1,UPPER EAST SIDE (59-79),07 RENTALS - WALKUP APARTMENTS             ,10021,8,2,5135,1920,2,C7,9890400
1,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS                    ,10027,2,0,5138,1899,1,B9,1386200
1,HARLEM-EAST,14 RENTALS - 4-10 UNIT                     ,10029,6,2,5144,1910,2,S9,2925000
4,WOODSIDE,07 RENTALS - WALKUP APARTMENTS             ,11377,4,0,5156,2007,2,C3,980000
1,UPPER WEST SIDE (79-96),07 RENTALS - WALKUP APARTMENTS             ,10024,8,1,5160,1910,2,C5,4240000
5,ARROCHAR,03 THREE FAMILY DWELLINGS                  ,10305,3,0,5160,1931,1,C0,450000
1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,10035,4,0,5167,1910,2,C3,2125000
4,RIDGEWOOD,07 RENTALS - WALKUP APARTMENTS             ,11385,6,0,5175,1930,2,C2,1325000
5,CASTLETON CORNERS,01 ONE FAMILY DWELLINGS                    ,10314,1,1,5182,2016,1,A1,945954
5,TODT HILL,01 ONE FAMILY DWELLINGS                    ,10304,1,0,5199,1960,1,A3,1915000
1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,10027,11,1,5200,1910,2,C7,925000
4,SOUTH OZONE PARK,07 RENTALS - WALKUP APARTMENTS             ,11420,4,0,5200,1920,2,C3,770000
5,ROSSVILLE,01 ONE FAMILY DWELLINGS                    ,10309,1,0,5200,1987,1,A3,1190000
5,SUNNYSIDE,07 RENTALS - WALKUP APARTMENTS             ,10301,8,0,5200,1932,2,C1,800000
5,WEST NEW BRIGHTON,21 OFFICE BUILDINGS                        ,10310,0,2,5200,1962,4,O5,950000
1,UPPER WEST SIDE (79-96),07 RENTALS - WALKUP APARTMENTS             ,10024,4,0,5210,1900,2,C3,10000000
1,UPPER WEST SIDE (96-116),03 THREE FAMILY DWELLINGS                  ,10025,3,0,5220,1900,1,C0,5000000
4,WOODSIDE,22 STORE BUILDINGS                         ,11377,0,6,5220,1931,4,K1,5500000
1,CHELSEA,14 RENTALS - 4-10 UNIT                     ,10011,4,1,5225,1910,2,S4,10581818
